name,radius,mass,ExoRM,Forecaster,ExoRM res,Forecaster res
WASP-120 b,1.2178,3.1879,2.577,4.6172,0.61094,1.4293
WASP-121 b,1.2933,2.5655,2.6447,4.703,0.07921,2.1375
WASP-123 b,1.1695,2.456,2.5705,4.5624,0.1145,2.1065
WASP-124 b,1.143,2.2803,2.6029,2.0976,0.32255,0.18274
WASP-119 b,1.1957,2.5921,2.5686,4.5922,0.023455,2.0001
WASP-127 b,1.1672,1.7189,2.572,4.5598,0.85311,2.8409
WASP-139 b,0.95266,1.5704,2.0031,1.7745,0.43275,0.20408
WASP-138 b,1.087,2.5886,2.6922,2.0025,0.10364,0.58602
WASP-136 b,1.1894,2.6812,2.5672,4.5851,0.11395,1.9039
WASP-135 b,1.1635,2.7809,2.5749,4.5556,0.20601,1.7747
WASP-126 b,1.0318,1.9494,2.5024,1.9089,0.55307,0.04046
WASP-132 c,0.26717,1.5723,0.91391,0.61065,0.65838,0.96164
WASP-133 b,1.1324,2.5667,2.625,2.0795,0.058375,0.48711
WASP-132 b,0.98909,2.115,2.2132,1.8363,0.098201,0.27867
WASP-131 b,1.1381,1.9384,2.6125,2.0892,0.67415,0.15087
WASP-130 b,0.99896,2.5921,2.2786,1.8531,0.3135,0.73903
WASP-129 b,1.018,2.5022,2.4141,1.8855,0.088075,0.61671
WASP-85 A b,1.143,2.6043,2.6029,2.0976,0.0013884,0.50668
WASP-70 A b,1.1155,2.273,2.6689,2.051,0.39591,0.22208
TOI-1798.02,0.14594,0.74819,0.51068,0.40482,0.23751,0.34337
TOI-1798.01,0.3775,0.81291,1.1142,0.79796,0.30132,0.01495
WASP-94 A b,1.2851,2.1573,2.6344,4.6937,0.47709,2.5363
TOI-762 A b,0.92114,1.9019,1.8613,1.7209,0.040596,0.18092
TOI-858 B b,1.1482,2.5436,2.5939,2.1065,0.050357,0.43712
V1298 Tau b,0.98809,2.3084,2.2068,1.8346,0.10162,0.47376
V1298 Tau c,0.71232,1.8824,1.4475,1.3664,0.43487,0.51598
V1298 Tau e,0.91585,2.5667,1.8411,1.712,0.72555,0.85468
WASP-77 A b,1.1324,2.7477,2.625,2.0795,0.12268,0.66816
V1298 Tau d,0.80848,1.9936,1.5754,1.5297,0.41818,0.46388
Kepler-56 c,1.037,2.3721,2.5317,1.9177,0.15952,0.45444
TOI-1410.01,0.49148,1.0969,1.2358,0.99147,0.13889,0.10544
HD 235088 b,0.31703,0.62325,1.0176,0.6953,0.3943,0.07205
Kepler-45 b,1.0318,2.2055,2.5023,1.9088,0.2968,0.29662
HD 260655 b,0.093422,0.33041,0.32244,0.31566,0.0079705,0.014757
HD 260655 c,0.18554,0.48996,0.65262,0.47206,0.16267,0.0179
HD 332231 b,0.98759,1.8896,2.2036,1.8338,0.31397,0.055822
Kepler-44 b,1.087,2.4939,2.6922,2.0025,0.19833,0.49133
Kepler-22 b,0.37658,1.5563,1.1137,0.7964,0.44263,0.75991
HIP 29442 d,0.18696,0.71096,0.65769,0.47446,0.05327,0.2365
HIP 65426 b,1.2257,3.4564,2.5812,4.6262,0.8752,1.1697
Kepler-43 b,1.0968,2.9922,2.6941,2.0193,0.29805,0.9729
HD 221416 b,0.96237,1.7818,2.0543,1.7909,0.27254,0.0091943
HIP 94235 b,0.47712,2.5786,1.214,0.9671,1.3646,1.6115
KELT-19 A b,1.3306,3.1118,2.7004,4.7453,0.41137,1.6335
KELT-23 A b,1.1711,2.4744,2.5695,4.5643,0.095111,2.0899
KOI-1599.01,0.27875,0.66276,0.93696,0.63031,0.2742,0.032446
KOI-1599.02,0.27875,0.95424,0.93696,0.63031,0.017287,0.32393
KOI-1783.01,0.94743,1.8513,1.9771,1.7656,0.1258,0.085666
KOI-1783.02,0.7356,1.1761,1.4699,1.4059,0.29379,0.22985
Kepler-10 b,0.17289,0.55267,0.60729,0.45059,0.054625,0.10208
Kepler-10 c,0.34772,1.301,1.0811,0.7474,0.21996,0.55363
Kepler-41 b,0.99913,2.2425,2.2798,1.8534,0.037247,0.38918
Kepler-40 b,1.2079,2.8366,2.5726,4.606,0.26401,1.7694
HIP 97166 b,0.43775,1.301,1.1566,0.90026,0.14444,0.40077
Kepler-39 b,1.143,3.8054,2.6029,2.0976,1.2025,1.7078
HD 219666 b,0.67302,1.2201,1.4223,1.2997,0.20217,0.079588
HD 219134 c,0.17926,0.63949,0.63012,0.4614,0.009363,0.17809
Kepler-53 b,0.45332,2.0133,1.1789,0.92669,0.83435,1.0866
Kepler-52 c,0.34242,1.7987,1.0719,0.73841,0.72677,1.0602
Kepler-52 b,0.32222,2.1303,1.029,0.70411,1.1013,1.4262
Kepler-51 d,0.97589,0.75587,2.1314,1.8139,1.3755,1.058
Kepler-51 c,0.96895,0.98677,2.091,1.8021,1.1042,0.81535
Kepler-51 b,0.83822,0.56703,1.6339,1.5802,1.0669,1.0131
HD 207496 b,0.35218,0.78533,1.088,0.75498,0.30272,0.030351
Kepler-50 c,0.4456,0.91381,1.1678,0.91359,0.25397,0.00022437
