pl_name,pl_bmasse,pl_rade,pl_pubdate,pl_controv_flag,pl_bmasseerr1,pl_bmasseerr2,pl_radeerr1,pl_radeerr2,soltype,disc_refname,pl_refname
CoRoT-27 b,3273.649,11.287463,2017-06,0,257.4423,-263.7989,0.493196,-0.493196,Published Confirmed,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
HATS-12 b,759.6137,15.513256,2018-03,0,27.65121,-27.65121,0.661331,-0.661331,Published Confirmed,<a refstr=RABUS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...88R/abstract target=ref>Rabus et al. 2016</a>,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..119B/abstract target=ref>Bayliss et al. 2018</a>
Kepler-18 d,16.4,6.98,2011-11,0,1.4,-1.4,0.33,-0.33,Published Confirmed,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>
KELT-4 A b,286.68266,19.044091,2016-02,0,19.0698,-18.75197,0.515614,-0.504405,Published Confirmed,<a refstr=EASTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151...45E/abstract target=ref>Eastman et al. 2016</a>,<a refstr=EASTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151...45E/abstract target=ref>Eastman et al. 2016</a>
HAT-P-1 b,166.536,13.731,2008-10,0,9.852,-9.852,0.661,-0.661,Published Confirmed,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...656..552B/abstract target=ref>Bakos et al. 2007</a>,<a refstr=JOHNSON_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...686..649J/abstract target=ref> Johnson et al. 2008 </a>
HAT-P-1 b,166.86075,13.921578,2017-06,0,8.26358,-8.26358,0.594077,-0.594077,Published Confirmed,<a refstr=BAKOS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...656..552B/abstract target=ref>Bakos et al. 2007</a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-1 b,271.415,16.623,2014-03,0,18.116,-16.526,0.269,-0.381,Published Confirmed,<a refstr=COLLIER_CAMERON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007MNRAS.375..951C/abstract target=ref> Collier Cameron et al. 2007 </a>,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64...27M/abstract target=ref> Maciejewski et al. 2014</a>
CoRoT-2 b,1150.5446,16.47723,2011-11,0,50.8528,-50.8528,0.358688,-0.358688,Published Confirmed,<a refstr=ALONSO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...482L..21A/abstract target=ref> Alonso et al. 2008 </a>,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>
HAT-P-6 b,351.51998,14.90797,2017-06,0,12.39537,-12.7132,0.683749,-0.683749,Published Confirmed,<a refstr=NOYES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L..79N/abstract target=ref> Noyes et al. 2008 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-8 b,677.61356,11.634942,2017-06,0,25.4264,-25.74423,0.078463,-0.526823,Published Confirmed,<a refstr=QUELOZ_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...517L...1Q/abstract target=ref> Queloz et al. 2010 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-12 b,448.1403,20.389171,2019-06,0,31.783,-31.783,1.591678,-1.591678,Published Confirmed,<a refstr=HEBB_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1920H/abstract target=ref> Hebb et al. 2009 </a>,<a refstr=_OUML_ZT_UUML_RK__AMP__ERDEM_2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2290O/abstract target=ref>&Ouml;zt&uuml;rk &amp; Erdem 2019</a>
WASP-19 b,366.77398168,15.86070769,2020-04,0,24.79061575,-25.42627256,0.49319515,-0.53803107,Published Confirmed,<a refstr=HEBB_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708..224H/abstract target=ref> Hebb et al. 2010 </a>,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>
HAT-P-15 b,619.45067,12.016048,2017-06,0,25.4264,-24.79074,0.481987,-0.481987,Published Confirmed,<a refstr=KOVACS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...724..866K/abstract target=ref> Kovacs et al. 2010 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
CoRoT-13 b,423.03173,9.919965,2017-06,0,23.20159,-23.20159,0.156926,-0.156926,Published Confirmed,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
WASP-38 b,855.245,12.263,2011-01,0,18.433,-18.433,0.325,-0.314,Published Confirmed,<a refstr=BARROS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1010.0849B/abstract target=ref> Barros et al. 2010 </a>,<a refstr=BARROS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1010.0849B/abstract target=ref> Barros et al. 2010 </a>
WASP-48 b,288.0,15.65,2015-05,0,27.0,-27.0,0.57,-0.57,Published Confirmed,<a refstr=ENOCH_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.2827E/abstract target=ref> Enoch et al. 2011 </a>,<a refstr=CICERI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A..54C/abstract target=ref>Ciceri et al. 2015</a>
